"","celltype"
"Dat1_Cell_00383","Astro"
"Dat1_Cell_00384","eL6"
"Dat1_Cell_00385","Oligo"
"Dat1_Cell_00386","eL4"
"Dat1_Cell_00387","eL2/3"
"Dat1_Cell_00388","eL5"
"Dat1_Cell_00389","eL4"
"Dat1_Cell_00390","eL6"
"Dat1_Cell_00391","eL2/3"
"Dat1_Cell_00392","eL4"
"Dat1_Cell_00394","Endo"
"Dat1_Cell_00395","eL2/3"
"Dat1_Cell_00396","eL5"
"Dat1_Cell_00398","Micro"
"Dat1_Cell_00399","eL6"
"Dat1_Cell_00400","Oligo"
"Dat1_Cell_00402","Oligo"
"Dat1_Cell_00403","Astro"
"Dat1_Cell_00404","Oligo"
"Dat1_Cell_00405","eL6"
"Dat1_Cell_00406","Oligo"
"Dat1_Cell_00407","Micro"
"Dat1_Cell_00408","eL4"
"Dat1_Cell_00409","eL6"
"Dat1_Cell_00410","eL6"
"Dat1_Cell_00412","eL4"
"Dat1_Cell_00413","eL6"
"Dat1_Cell_00414","Oligo"
"Dat1_Cell_00416","PVALB"
"Dat1_Cell_00417","eL6"
"Dat1_Cell_00418","eL6"
"Dat1_Cell_00419","Micro"
"Dat1_Cell_00420","eL6"
"Dat1_Cell_00421","eL5"
"Dat1_Cell_00422","Astro"
"Dat1_Cell_00423","Micro"
"Dat1_Cell_00425","eL5"
"Dat1_Cell_00427","eL6"
"Dat1_Cell_00428","eL2/3"
"Dat1_Cell_00429","eL2/3"
"Dat1_Cell_00430","Astro"
"Dat1_Cell_00432","eL2/3"
"Dat1_Cell_00433","eL6"
"Dat1_Cell_00434","Micro"
"Dat1_Cell_00435","Endo"
"Dat1_Cell_00436","Astro"
"Dat1_Cell_00437","PVALB"
"Dat1_Cell_00438","Endo"
"Dat1_Cell_00439","Oligo"
"Dat1_Cell_00440","Astro"
"Dat1_Cell_00441","eL6"
"Dat1_Cell_00442","Astro"
"Dat1_Cell_00443","VIP"
"Dat1_Cell_00445","Endo"
"Dat1_Cell_00446","eL4"
"Dat1_Cell_00447","SST"
"Dat1_Cell_00448","eL6"
"Dat1_Cell_00449","eL4"
"Dat1_Cell_00450","Oligo"
"Dat1_Cell_00451","eL6"
"Dat1_Cell_00452","Astro"
"Dat1_Cell_00453","eL2/3"
"Dat1_Cell_00454","Astro"
"Dat1_Cell_00455","Astro"
"Dat1_Cell_00456","VIP"
"Dat1_Cell_00457","Endo"
"Dat1_Cell_00458","Astro"
"Dat1_Cell_00459","eL4"
"Dat1_Cell_00460","Oligo"
"Dat1_Cell_00461","Oligo"
"Dat1_Cell_00462","VIP"
"Dat1_Cell_00463","Oligo"
"Dat1_Cell_00464","eL2/3"
"Dat1_Cell_00465","Oligo"
"Dat1_Cell_00466","SST"
"Dat1_Cell_00467","Endo"
"Dat1_Cell_00469","eL4"
"Dat1_Cell_00470","Oligo"
"Dat1_Cell_00471","PVALB"
"Dat1_Cell_00472","eL2/3"
"Dat1_Cell_00473","eL6"
"Dat1_Cell_00475","eL6"
"Dat1_Cell_00476","Micro"
"Dat1_Cell_00477","eL2/3"
"Dat1_Cell_00479","eL4"
"Dat1_Cell_00480","PVALB"
"Dat1_Cell_00481","eL6"
